src_mode,build_period,arch_design,house_type,stories,area_sqft,rel_head,gender,edu_attendance,occupation,food_exp,nonfood_exp,wall_material,vent_raw,roof_type,red_notices,pay_practice,wiring_pro,gen_raw,solar_raw,billknow_raw,iron_raw,nightlight_raw,metercheck_raw,enrating_raw,district,total_exp,area_per_story,any_red_notice,province,vent_glassroof,vent_glasswall,vent_other,vent_pergola,vent_window,vent_count,vent_reported,gen_grid,gen_hydro,gen_othergreen,gen_solar,gen_count,gen_none,uses_renewable,solar_agri,solar_car,solar_cooking,solar_other,solar_outdoor,solar_water,solar_purpose_count,solar_user,eci_billknow,eci_billknow_norm,eci_iron,eci_iron_norm,eci_nightlight,eci_nightlight_norm,eci_metercheck,eci_metercheck_norm,eci_enrating,eci_enrating_norm,eci_raw_sum,eci,eci_band
Online,2000 - 2009,The house was designed by a certified architect,Single House - Above double floor,3.0,2800.0,Son/daughter,Male,Does not attend,Professional,110000.0,100000.0,Brick,,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron the cloths daily,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Colombo,210000.0,933.3333333333334,0,Western,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.0,1,0.5,2,0.6666666666666666,1,1.0,5,53.333333333333336,Medium
Online,1980 - 1989,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House - Single Floor,1.0,,Son/daughter,Female,University,Professional,50000.0,30000.0,Cement Block,Transparent roofing parts,Asbestos,2,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,One of my family members taught me how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Ratnapura,80000.0,,1,Sabaragamuwa,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,1,0.25,2,1.0,2,0.6666666666666666,1,1.0,8,78.33333333333333,High
Online,After 2019,The house was designed by a certified architect,Single House - Single Floor,1.0,400.0,Son/daughter,Male,Does not attend,Professional,50000.0,30000.0,Cement Block,Transparent walls (clear glass/ semi-transparent glass),Asbestos,2,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Rarely, once a year",Yes,Colombo,80000.0,400.0,1,Western,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.25,2,1.0,1,0.3333333333333333,1,1.0,5,51.66666666666666,Low
Online,1990 - 1999,The house was designed by a certified architect,Single House - Above double floor,3.0,1400.0,Son/daughter,Male,Vocational/Technical Institution,Professional,40000.0,50000.0,Brick,"Pergolas, Window walls (the wall is covered more than 80% by windows)",Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,LECO/ CEB described to me how the bill is calculated,We iron the cloths daily,We keep less than two-night lights on when sleeping,"Rarely, once a year",Yes,Kalutara,90000.0,466.6666666666667,0,Western,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0.0,1,0.5,1,0.3333333333333333,1,1.0,5,56.666666666666664,Medium
Online,2000 - 2009,No such professional designing was done; the house was designed to suit our needs and wants,Single House -Double Floor,2.0,1200.0,Wife/Husband,Male,University,Professional,40000.0,20000.0,Brick,Other,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,No,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron the cloths daily,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Kalutara,60000.0,600.0,0,Western,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0.0,1,0.5,3,1.0,1,1.0,7,70.0,High
Online,1990 - 1999,The house was designed by a certified architect,Single House - Single Floor,1.0,1500.0,Wife/Husband,Female,University,Professional,60000.0,70000.0,Brick,Window walls (the wall is covered more than 80% by windows),Tile,8,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, every month",No,Matara,130000.0,1500.0,1,Southern,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0.5,1,0.5,3,1.0,0,0.0,7,50.0,Low
Online,1980 - 1989,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House - Above double floor,2.0,3000.0,Son-in-law/Daughter in law,Male,Does not attend,Professional,30000.0,40000.0,Cement Block,Other,Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,No,Matara,70000.0,1500.0,0,Southern,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.25,1,0.5,0,0.0,0,0.0,3,25.0,Low
Online,1990 - 1999,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1.0,150.0,Wife/Husband,Female,University,Professional,35000.0,20000.0,Brick,Window walls (the wall is covered more than 80% by windows),Tile,1,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,"Agriculture equipment and systems (irrigation systems, etc), Outdoor lighting",LECO/ CEB described to me how the bill is calculated,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Matara,55000.0,150.0,1,Southern,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2,1,2,1.0,1,0.25,1,0.5,3,1.0,1,1.0,8,75.0,High
Online,2010 - 2019,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1.0,1200.0,Head of the household,Male,University,Professional,80000.0,50000.0,Cement Block,,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Kandy,130000.0,1200.0,0,Central,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,2,0.5,1,0.5,2,0.6666666666666666,1,1.0,8,73.33333333333333,High
Online,After 2019,The house was designed by a certified architect,Single House -Double Floor,2.0,2600.0,Head of the household,Male,University,"Legislator, senior official, and manager",25000.0,10000.0,Cement Block,Pergolas,Concrete,0,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Kalutara,35000.0,1300.0,0,Western,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,1,0.25,2,1.0,2,0.6666666666666666,1,1.0,8,78.33333333333333,High
