family,var_a,var_b,block,relation,test,effect,effect_size,ci_lo,ci_hi,p,q,n,rows,cols,min_expected,interpretation
categorical,House type,Main occupation,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.9917,1.0,70,5.0,5.0,0.0143,negligible
categorical,Any disconnection notice,Energy-rating awareness,energy~behaviour,substantive,fisher,cramers_v,0.0,,,1.0,1.0,70,2.0,2.0,3.8,negligible
categorical,Any disconnection notice,Solar user,energy,substantive,fisher,cramers_v,0.0,,,1.0,1.0,70,2.0,2.0,3.2,negligible
categorical,Any disconnection notice,Uses renewable source,energy,substantive,fisher,cramers_v,0.0,,,1.0,1.0,70,2.0,2.0,2.4,negligible
categorical,Gender,Uses renewable source,demographic~energy,substantive,fisher,cramers_v,0.0,,,1.0,1.0,70,2.0,2.0,2.2286,negligible
numeric,Non-food expenditure (Rs/mo),Total expenditure (Rs/mo),?,tautological,spearman,spearman_rho,0.915,0.8387,0.9575,0.0,0.0,69,,,,large
numeric,Food expenditure (Rs/mo),Total expenditure (Rs/mo),?,tautological,spearman,spearman_rho,0.8089,0.6685,0.9066,0.0,0.0,69,,,,large
numeric,Energy-rating awareness,Energy-Consciousness Index (0-100),behaviour~?,tautological,spearman,spearman_rho,0.6176,0.4578,0.7369,0.0,0.0,70,,,,large
numeric,Food expenditure (Rs/mo),Non-food expenditure (Rs/mo),?,substantive,spearman,spearman_rho,0.5614,0.3409,0.7388,0.0,0.0,69,,,,large
numeric,Meter-checking frequency,Energy-Consciousness Index (0-100),behaviour~?,tautological,spearman,spearman_rho,0.5521,0.3645,0.7072,0.0,0.0,70,,,,large
numeric,Bill-calculation literacy,Energy-Consciousness Index (0-100),behaviour~?,tautological,spearman,spearman_rho,0.3858,0.1706,0.5713,0.001,0.0107,70,,,,moderate
numeric,Ironing efficiency,Energy-Consciousness Index (0-100),behaviour~?,tautological,spearman,spearman_rho,0.3698,0.1388,0.5636,0.0016,0.0153,70,,,,moderate
numeric,Non-food expenditure (Rs/mo),Night-lighting restraint,?~behaviour,substantive,spearman,spearman_rho,-0.3031,-0.5083,-0.0796,0.0114,0.0937,69,,,,moderate
numeric,Total expenditure (Rs/mo),Night-lighting restraint,?~behaviour,substantive,spearman,spearman_rho,-0.2966,-0.5172,-0.0562,0.0133,0.0979,69,,,,small
numeric,Meter-checking frequency,Energy-rating awareness,behaviour,substantive,spearman,spearman_rho,0.2814,0.0485,0.4928,0.0183,0.1102,70,,,,small
numeric,Floor area (sq ft),Number of stories,?,substantive,spearman,spearman_rho,0.2921,0.0426,0.5187,0.0192,0.1102,64,,,,small
numeric,Night-lighting restraint,Energy-Consciousness Index (0-100),behaviour~?,tautological,spearman,spearman_rho,0.2775,0.0539,0.4792,0.02,0.1102,70,,,,small
numeric,Floor area (sq ft),Red notices (last year),?,substantive,spearman,spearman_rho,-0.2675,-0.4854,-0.0185,0.0312,0.1584,65,,,,small
numeric,Food expenditure (Rs/mo),Night-lighting restraint,?~behaviour,substantive,spearman,spearman_rho,-0.2261,-0.4575,0.0175,0.0618,0.2914,69,,,,small
numeric,Non-food expenditure (Rs/mo),Energy-Consciousness Index (0-100),?,substantive,spearman,spearman_rho,-0.2069,-0.44,0.0366,0.0881,0.3877,69,,,,small
numeric,Number of stories,Night-lighting restraint,?~behaviour,substantive,spearman,spearman_rho,-0.1816,-0.4027,0.0461,0.1353,0.5581,69,,,,small
numeric,Ironing efficiency,Night-lighting restraint,behaviour,substantive,spearman,spearman_rho,0.1746,-0.0426,0.3773,0.1482,0.5667,70,,,,small
numeric,Floor area (sq ft),Food expenditure (Rs/mo),?,substantive,spearman,spearman_rho,-0.1786,-0.3997,0.0502,0.1546,0.5667,65,,,,small
numeric,Total expenditure (Rs/mo),Energy-Consciousness Index (0-100),?,substantive,spearman,spearman_rho,-0.1683,-0.3999,0.0693,0.1667,0.5792,69,,,,small
numeric,Ironing efficiency,Meter-checking frequency,behaviour,substantive,spearman,spearman_rho,0.1492,-0.0999,0.3794,0.2175,0.6641,70,,,,small
numeric,Non-food expenditure (Rs/mo),Bill-calculation literacy,?~behaviour,substantive,spearman,spearman_rho,-0.1481,-0.3787,0.0867,0.2244,0.6641,69,,,,small
numeric,Number of stories,Ironing efficiency,?~behaviour,substantive,spearman,spearman_rho,-0.1478,-0.3865,0.1014,0.2255,0.6641,69,,,,small
numeric,Floor area (sq ft),Energy-rating awareness,?~behaviour,substantive,spearman,spearman_rho,-0.1505,-0.381,0.0967,0.2314,0.6641,65,,,,small
numeric,Number of stories,Total expenditure (Rs/mo),?,substantive,spearman,spearman_rho,0.1426,-0.0896,0.3663,0.246,0.6764,68,,,,small
numeric,Bill-calculation literacy,Meter-checking frequency,behaviour,substantive,spearman,spearman_rho,-0.1169,-0.3399,0.1187,0.3352,0.8848,70,,,,small
numeric,Bill-calculation literacy,Night-lighting restraint,behaviour,substantive,spearman,spearman_rho,-0.1126,-0.3441,0.124,0.3535,0.8973,70,,,,small
numeric,Food expenditure (Rs/mo),Energy-Consciousness Index (0-100),?,substantive,spearman,spearman_rho,-0.1031,-0.3512,0.1458,0.3991,0.924,69,,,,small
numeric,Food expenditure (Rs/mo),Red notices (last year),?,substantive,spearman,spearman_rho,0.0957,-0.1463,0.3196,0.434,0.924,69,,,,negligible
numeric,Red notices (last year),Night-lighting restraint,?~behaviour,substantive,spearman,spearman_rho,0.0937,-0.1186,0.3049,0.4405,0.924,70,,,,negligible
numeric,Red notices (last year),Meter-checking frequency,?~behaviour,substantive,spearman,spearman_rho,0.093,-0.1573,0.3301,0.4436,0.924,70,,,,negligible
numeric,Night-lighting restraint,Meter-checking frequency,behaviour,substantive,spearman,spearman_rho,-0.0869,-0.3053,0.1445,0.4745,0.924,70,,,,negligible
numeric,Number of stories,Food expenditure (Rs/mo),?,substantive,spearman,spearman_rho,0.0867,-0.1632,0.3253,0.4819,0.924,68,,,,negligible
numeric,Floor area (sq ft),Non-food expenditure (Rs/mo),?,substantive,spearman,spearman_rho,0.0858,-0.151,0.3068,0.4965,0.924,65,,,,negligible
numeric,Night-lighting restraint,Energy-rating awareness,behaviour,substantive,spearman,spearman_rho,-0.0788,-0.3112,0.1535,0.5168,0.924,70,,,,negligible
numeric,Floor area (sq ft),Energy-Consciousness Index (0-100),?,substantive,spearman,spearman_rho,-0.0817,-0.2967,0.1469,0.5178,0.924,65,,,,negligible
numeric,Number of stories,Bill-calculation literacy,?~behaviour,substantive,spearman,spearman_rho,0.0789,-0.1585,0.3221,0.5195,0.924,69,,,,negligible
numeric,Total expenditure (Rs/mo),Bill-calculation literacy,?~behaviour,substantive,spearman,spearman_rho,-0.0769,-0.3131,0.1579,0.53,0.924,69,,,,negligible
numeric,Number of stories,Red notices (last year),?,substantive,spearman,spearman_rho,-0.0765,-0.2984,0.1518,0.532,0.924,69,,,,negligible
numeric,Number of stories,Meter-checking frequency,?~behaviour,substantive,spearman,spearman_rho,-0.068,-0.3024,0.1738,0.579,0.9447,69,,,,negligible
numeric,Number of stories,Non-food expenditure (Rs/mo),?,substantive,spearman,spearman_rho,0.0668,-0.184,0.3154,0.5883,0.9447,68,,,,negligible
numeric,Number of stories,Energy-Consciousness Index (0-100),?,substantive,spearman,spearman_rho,-0.0631,-0.2924,0.1834,0.6064,0.9447,69,,,,negligible
numeric,Food expenditure (Rs/mo),Energy-rating awareness,?~behaviour,substantive,spearman,spearman_rho,0.061,-0.1831,0.2906,0.6187,0.9447,69,,,,negligible
numeric,Non-food expenditure (Rs/mo),Energy-rating awareness,?~behaviour,substantive,spearman,spearman_rho,-0.0575,-0.2811,0.1688,0.6386,0.9447,69,,,,negligible
numeric,Red notices (last year),Energy-rating awareness,?~behaviour,substantive,spearman,spearman_rho,-0.0535,-0.3135,0.1941,0.6601,0.9447,70,,,,negligible
numeric,Total expenditure (Rs/mo),Red notices (last year),?,substantive,spearman,spearman_rho,0.0534,-0.1807,0.2789,0.6631,0.9447,69,,,,negligible
numeric,Non-food expenditure (Rs/mo),Meter-checking frequency,?~behaviour,substantive,spearman,spearman_rho,0.0521,-0.2052,0.3128,0.6705,0.9447,69,,,,negligible
numeric,Bill-calculation literacy,Ironing efficiency,behaviour,substantive,spearman,spearman_rho,-0.0514,-0.2835,0.1874,0.6728,0.9447,70,,,,negligible
numeric,Non-food expenditure (Rs/mo),Red notices (last year),?,substantive,spearman,spearman_rho,0.0388,-0.1833,0.2531,0.7519,0.9911,69,,,,negligible
numeric,Bill-calculation literacy,Energy-rating awareness,behaviour,substantive,spearman,spearman_rho,0.0346,-0.1897,0.2624,0.7764,0.9911,70,,,,negligible
numeric,Total expenditure (Rs/mo),Meter-checking frequency,?~behaviour,substantive,spearman,spearman_rho,0.0345,-0.2188,0.2926,0.7782,0.9911,69,,,,negligible
numeric,Food expenditure (Rs/mo),Bill-calculation literacy,?~behaviour,substantive,spearman,spearman_rho,0.0337,-0.2143,0.2779,0.7835,0.9911,69,,,,negligible
numeric,Food expenditure (Rs/mo),Ironing efficiency,?~behaviour,substantive,spearman,spearman_rho,0.0312,-0.2223,0.2897,0.7991,0.9911,69,,,,negligible
numeric,Red notices (last year),Ironing efficiency,?~behaviour,substantive,spearman,spearman_rho,0.0272,-0.1884,0.246,0.8233,0.9911,70,,,,negligible
numeric,Floor area (sq ft),Ironing efficiency,?~behaviour,substantive,spearman,spearman_rho,-0.0258,-0.2351,0.1874,0.8386,0.9911,65,,,,negligible
numeric,Floor area (sq ft),Night-lighting restraint,?~behaviour,substantive,spearman,spearman_rho,-0.0252,-0.2565,0.2138,0.8421,0.9911,65,,,,negligible
numeric,Number of stories,Energy-rating awareness,?~behaviour,substantive,spearman,spearman_rho,0.0208,-0.2112,0.2534,0.8651,0.9911,69,,,,negligible
numeric,Red notices (last year),Energy-Consciousness Index (0-100),?,substantive,spearman,spearman_rho,0.0176,-0.2181,0.262,0.8851,0.9911,70,,,,negligible
numeric,Floor area (sq ft),Meter-checking frequency,?~behaviour,substantive,spearman,spearman_rho,-0.0151,-0.2603,0.2401,0.9052,0.9911,65,,,,negligible
numeric,Ironing efficiency,Energy-rating awareness,behaviour,substantive,spearman,spearman_rho,0.0144,-0.2082,0.2283,0.9057,0.9911,70,,,,negligible
numeric,Food expenditure (Rs/mo),Meter-checking frequency,?~behaviour,substantive,spearman,spearman_rho,-0.0138,-0.2601,0.234,0.9104,0.9911,69,,,,negligible
numeric,Non-food expenditure (Rs/mo),Ironing efficiency,?~behaviour,substantive,spearman,spearman_rho,-0.0088,-0.251,0.2385,0.9428,0.9911,69,,,,negligible
numeric,Total expenditure (Rs/mo),Ironing efficiency,?~behaviour,substantive,spearman,spearman_rho,-0.0072,-0.2399,0.2321,0.9531,0.9911,69,,,,negligible
numeric,Total expenditure (Rs/mo),Energy-rating awareness,?~behaviour,substantive,spearman,spearman_rho,-0.0058,-0.2362,0.2193,0.9622,0.9911,69,,,,negligible
numeric,Floor area (sq ft),Bill-calculation literacy,?~behaviour,substantive,spearman,spearman_rho,0.0048,-0.2498,0.259,0.9695,0.9911,65,,,,negligible
numeric,Red notices (last year),Bill-calculation literacy,?~behaviour,substantive,spearman,spearman_rho,-0.0014,-0.2622,0.2592,0.9907,0.9911,70,,,,negligible
numeric,Floor area (sq ft),Total expenditure (Rs/mo),?,substantive,spearman,spearman_rho,-0.0014,-0.23,0.2198,0.9911,0.9911,65,,,,negligible
