family,var_a,var_b,block,relation,test,effect,effect_size,ci_lo,ci_hi,p,q,n,rows,cols,min_expected,interpretation
categorical,Main occupation,Professional wiring,demographic~energy,substantive,chi2,cramers_v,0.1673,,,0.1547,0.6446,70,5.0,3.0,0.0429,small
categorical,Gender,Solar user,demographic~energy,substantive,fisher,cramers_v,0.1313,,,0.1561,0.6446,70,2.0,2.0,2.9714,small
categorical,Uses renewable source,Energy-rating awareness,energy~behaviour,substantive,fisher,cramers_v,0.1512,,,0.159,0.6446,70,2.0,2.0,3.2571,small
categorical,Ironing efficiency,Night-lighting restraint,behaviour,substantive,chi2,cramers_v,0.165,,,0.1596,0.6446,70,5.0,3.0,0.2571,small
categorical,Roof type,Uses renewable source,dwelling~energy,substantive,chi2,cramers_v,0.1523,,,0.1628,0.6446,70,3.0,2.0,1.2,small
categorical,Architectural design level,Any disconnection notice,dwelling~energy,substantive,chi2,cramers_v,0.1955,,,0.1731,0.671,70,6.0,2.0,0.2,small
categorical,Province,Night-lighting restraint,context~behaviour,substantive,chi2,cramers_v,0.1635,,,0.1833,0.6967,70,6.0,3.0,0.0857,small
categorical,Solar user,Night-lighting restraint,energy~behaviour,substantive,chi2,cramers_v,0.1381,,,0.1878,0.6995,70,2.0,3.0,1.3714,small
categorical,Construction period,Province,dwelling~context,substantive,chi2,cramers_v,0.1266,,,0.2038,0.7446,70,6.0,6.0,0.0857,small
categorical,Outer-wall material,Professional wiring,dwelling~energy,substantive,chi2,cramers_v,0.1101,,,0.2222,0.7966,70,3.0,3.0,0.1714,small
categorical,Relationship to head,Night-lighting restraint,demographic~behaviour,substantive,chi2,cramers_v,0.1507,,,0.2274,0.8002,70,7.0,3.0,0.0857,small
categorical,Educational attendance,Energy-rating awareness,demographic~behaviour,substantive,chi2,cramers_v,0.1358,,,0.2551,0.8321,70,5.0,2.0,0.2714,small
categorical,Bill-payment practice,Bill-calculation literacy,energy~behaviour,substantive,chi2,cramers_v,0.1114,,,0.2551,0.8321,70,4.0,3.0,1.4,small
categorical,Architectural design level,Relationship to head,dwelling~demographic,substantive,chi2,cramers_v,0.1116,,,0.2621,0.8321,70,6.0,7.0,0.0143,small
categorical,Relationship to head,Uses renewable source,demographic~energy,substantive,chi2,cramers_v,0.1521,,,0.2622,0.8321,70,7.0,2.0,0.1714,small
categorical,Educational attendance,Any disconnection notice,demographic~energy,substantive,chi2,cramers_v,0.1259,,,0.2721,0.8321,70,5.0,2.0,0.2,small
categorical,Professional wiring,Ironing efficiency,energy~behaviour,substantive,chi2,cramers_v,0.1143,,,0.2726,0.8321,70,3.0,5.0,0.1286,small
categorical,Outer-wall material,Educational attendance,dwelling~demographic,substantive,chi2,cramers_v,0.1138,,,0.2738,0.8321,70,3.0,5.0,0.0571,small
categorical,Gender,Any disconnection notice,demographic~energy,substantive,fisher,cramers_v,0.0455,,,0.2768,0.8321,70,2.0,2.0,2.6,negligible
categorical,Relationship to head,Main occupation,demographic,substantive,chi2,cramers_v,0.1111,,,0.277,0.8321,70,7.0,5.0,0.0143,small
categorical,Any disconnection notice,Bill-calculation literacy,energy~behaviour,substantive,chi2,cramers_v,0.0864,,,0.2803,0.8321,70,2.0,3.0,2.8,negligible
categorical,Roof type,Bill-payment practice,dwelling~energy,substantive,chi2,cramers_v,0.0985,,,0.285,0.833,70,3.0,4.0,0.7,negligible
categorical,House type,Bill-calculation literacy,dwelling~behaviour,substantive,chi2,cramers_v,0.1003,,,0.3032,0.837,70,5.0,3.0,0.2,small
categorical,Solar user,Bill-calculation literacy,energy~behaviour,substantive,chi2,cramers_v,0.0715,,,0.3039,0.837,70,2.0,3.0,3.2,negligible
categorical,Architectural design level,Roof type,dwelling,substantive,chi2,cramers_v,0.1063,,,0.3069,0.837,70,6.0,3.0,0.1,small
categorical,Roof type,Any disconnection notice,dwelling~energy,substantive,chi2,cramers_v,0.0682,,,0.3089,0.837,70,3.0,2.0,1.4,negligible
categorical,Relationship to head,Bill-payment practice,demographic~energy,substantive,chi2,cramers_v,0.1029,,,0.3115,0.837,70,7.0,4.0,0.1,small
categorical,Relationship to head,Any disconnection notice,demographic~energy,substantive,chi2,cramers_v,0.1169,,,0.3182,0.837,70,7.0,2.0,0.2,small
categorical,Educational attendance,Bill-calculation literacy,demographic~behaviour,substantive,chi2,cramers_v,0.0879,,,0.3285,0.837,70,5.0,3.0,0.2,negligible
categorical,Relationship to head,Professional wiring,demographic~energy,substantive,chi2,cramers_v,0.0998,,,0.3319,0.837,70,7.0,3.0,0.0429,negligible
categorical,Construction period,Energy-rating awareness,dwelling~behaviour,substantive,chi2,cramers_v,0.0979,,,0.3329,0.837,70,6.0,2.0,1.6286,negligible
categorical,Construction period,Educational attendance,dwelling~demographic,substantive,chi2,cramers_v,0.0832,,,0.3342,0.837,70,6.0,5.0,0.0857,negligible
categorical,Professional wiring,Province,energy~context,substantive,chi2,cramers_v,0.0921,,,0.3348,0.837,70,3.0,6.0,0.0429,negligible
categorical,Professional wiring,Meter-checking frequency,energy~behaviour,substantive,chi2,cramers_v,0.0657,,,0.352,0.8518,70,3.0,4.0,0.6,negligible
categorical,Bill-calculation literacy,Ironing efficiency,behaviour,substantive,chi2,cramers_v,0.0746,,,0.3532,0.8518,70,3.0,5.0,0.6,negligible
categorical,Outer-wall material,Night-lighting restraint,dwelling~behaviour,substantive,chi2,cramers_v,0.0504,,,0.3541,0.8518,70,3.0,3.0,0.3429,negligible
