variable,n,n_missing,mean,sd,min,q1,median,median_lo,median_hi,q3,max,iqr,skew,cv,shapiro_W,shapiro_p
Floor area (sq ft),65,5,2182.8,1479.6,150.0,1200.0,2000.0,1600.0,2300.0,2600.0,7200.0,1400.0,1.551,0.678,0.869,5.665321370715837e-06
Floor area per story (sq ft),64,6,1287.4,839.3,75.0,750.0,1000.0,850.0,1250.0,2000.0,4000.0,1250.0,1.082,0.652,0.912,0.00023842099332827815
